Year,State,State Code,Deaths,Population
1993,Kansas,20,2390,2175951
1993,Kentucky,21,3865,3293034
1993,Louisiana,22,2837,3641563
1993,Maine,23,1125,1070963
1993,Maryland,24,3258,4227559
1993,Massachusetts,25,5900,5224404
1993,Michigan,26,7330,8116925
1993,Minnesota,27,3693,3871031
1993,Mississippi,28,2222,2250813
1993,Missouri,29,5370,4514660
1993,Montana,30,841,719607
1993,Nebraska,31,1562,1385265
1993,Nevada,32,1195,1200974
1993,New Hampshire,33,819,961111
1993,New Jersey,34,5951,6828898
1993,New Mexico,35,1198,1364345
1993,New York,36,14346,15748837
1993,North Carolina,37,5861,6072228
1993,North Dakota,38,491,549112
1993,Ohio,39,9295,9513527
1993,Oklahoma,40,3325,2778674
1993,Oregon,41,2894,2633257
1993,Pennsylvania,42,11403,10485840
1993,Rhode Island,44,885,877026
1993,South Carolina,45,2586,3130908
1993,South Dakota,46,705,609915
1993,Tennessee,47,4542,4429493
1993,Texas,48,11207,15205730
1993,Utah,49,1023,1546762
1993,Vermont,50,508,494416
1993,Virginia,51,4773,5590790
1993,Washington,53,4237,4494053
1993,West Virginia,54,2132,1598556
1993,Wisconsin,55,4188,4351776
1993,Wyoming,56,411,401745
1994,Alabama,1,3759,3665996
1994,Arizona,4,3493,3599423
1994,Arkansas,5,2487,2143230
1994,California,6,23141,26235415
1994,Colorado,8,2765,3180798
1994,Connecticut,9,2766,2844947
1994,Delaware,10,551,613960
1994,District of Columbia,11,457,513226
1994,Florida,12,12894,12344901
1994,Georgia,13,5263,6083782
1994,Hawaii,15,611,1010559
1994,Idaho,16,967,965498
1994,Illinois,17,9481,10149590
1994,Indiana,18,4855,4978374
1994,Iowa,19,2857,2464755
1994,Kansas,20,2368,2200818
1994,Kentucky,21,3861,3323683
1994,Louisiana,22,3032,3673344
1994,Maine,23,1124,1073134
1994,Maryland,24,3390,4273051
1994,Massachusetts,25,5726,5249843
1994,Michigan,26,7203,8172322
1994,Minnesota,27,3457,3927334
1994,Mississippi,28,2195,2281149
1994,Missouri,29,5460,4566792
1994,Montana,30,875,736770
1994,Nebraska,31,1554,1399645
1994,Nevada,32,1229,1277240
1994,New Hampshire,33,867,973084
1994,New Jersey,34,5721,6870133
1994,New Mexico,35,1228,1407783
1994,New York,36,13699,15795377
1994,North Carolina,37,5573,6192730
1994,North Dakota,38,490,554047
1994,Ohio,39,9305,9560312
1994,Oklahoma,40,3331,2807307
1994,Oregon,41,2619,2689409
1994,Pennsylvania,42,11549,10527266
1994,Rhode Island,44,791,877424
1994,South Carolina,45,2604,3167145
1994,South Dakota,46,643,619854
1994,Tennessee,47,4803,4509437
1994,Texas,48,11736,15558260
1994,Utah,49,1057,1604718
1994,Vermont,50,490,500472
1994,Virginia,51,4662,5664569
1994,Washington,53,4121,4585788
1994,West Virginia,54,2086,1602271
1994,Wisconsin,55,4196,4403143
1994,Wyoming,56,445,410028
1995,Alabama,1,3559,3695745
1995,Arizona,4,3645,3759084
1995,Arkansas,5,2421,2177415
1995,California,6,23245,26397307
1995,Colorado,8,2895,3278466
1995,Connecticut,9,2713,2851402
1995,Delaware,10,551,626484
1995,District of Columbia,11,439,503641
1995,Florida,12,13325,12622667
1995,Georgia,13,5253,6233850
1995,Hawaii,15,714,1019194
1995,Idaho,16,866,995545
1995,Illinois,17,9609,10225976
1995,Indiana,18,4859,5028909
1995,Iowa,19,2936,2484995
1995,Kansas,20,2346,2224936
1995,Kentucky,21,3767,3359628
1995,Louisiana,22,2940,3709128
1995,Maine,23,1159,1077771
1995,Maryland,24,3557,4314980
1995,Massachusetts,25,5891,5292743
1995,Michigan,26,7460,8246710
1995,Minnesota,27,3618,3982688
1995,Mississippi,28,2301,2313497
1995,Missouri,29,5362,4617952
1995,Montana,30,901,754211
1995,Nebraska,31,1586,1419154
1995,Nevada,32,1297,1349110
1995,New Hampshire,33,819,988908
1995,New Jersey,34,6128,6923650
1995,New Mexico,35,1258,1444702
1995,New York,36,14088,15841353
1995,North Carolina,37,6102,6331128
1995,North Dakota,38,511,558747
1995,Ohio,39,9605,9616880
1995,Oklahoma,40,3346,2834999
1995,Oregon,41,2653,2747789
1995,Pennsylvania,42,11618,10566989
1995,Rhode Island,44,845,878500
1995,South Carolina,45,2901,3208598
1995,South Dakota,46,689,628751
1995,Tennessee,47,4695,4594163
1995,Texas,48,11659,15918764
1995,Utah,49,1093,1654445
1995,Vermont,50,483,506667
1995,Virginia,51,4952,5735645
1995,Washington,53,4188,4688735
1995,West Virginia,54,2081,1604165
1995,Wisconsin,55,4150,4461947
1995,Wyoming,56,448,416488
1996,Alabama,1,3638,3729683
1996,Arizona,4,3862,3892836
1996,Arkansas,5,2442,2208558
1996,California,6,24594,26669801
1996,Colorado,8,2982,3365657
1996,Connecticut,9,2764,2866117
1996,Delaware,10,569,637297
1996,District of Columbia,11,449,497273
1996,Florida,12,13636,12920009
1996,Georgia,13,5470,6384914
1996,Hawaii,15,710,1026728
1996,Idaho,16,908,1018696
1996,Illinois,17,9663,10303315
1996,Indiana,18,5052,5078587
1996,Iowa,19,2833,2497489
1996,Kansas,20,2348,2240363
1996,Kentucky,21,3795,3388448
1996,Louisiana,22,2972,3736406
1996,Maine,23,1231,1086276
1996,Maryland,24,3780,4363093
1996,Massachusetts,25,6122,5330391
